ProductKey,"Product Name",Brand,Category,Subcategory,Total_Units_Sold,Total_Revenue_USD
458,"WWI Desktop PC1.80 E1800 White","Wide World Importers",Computers,Desktops,538,123686.19999999998
430,"Adventure Works Desktop PC1.60 ED160 Brown","Adventure Works",Computers,Desktops,455,122827.24999999993
2092,"Contoso Water Heater 4.0GPM M1250 Blue",Contoso,"Home Appliances","Water Heaters",154,121814
1443,"The Phone Company Touch Screen Phone 1600 TFT-1.4" L250 Gold","The Phone Company","Cell phones","Touch Screen Phones",201,118389
160,"Adventure Works 37" 1080p LCD HDTV M150W Brown","Adventure Works","TV and Video",Televisions,106,116598.94000000003
418,"Adventure Works Desktop PC1.60 ED160 Silver","Adventure Works",Computers,Desktops,430,116078.4999999999
454,"WWI Desktop PC1.80 E1801 Brown","Wide World Importers",Computers,Desktops,428,115517.19999999998
150,"Adventure Works 40" LCD HDTV M690 Black","Adventure Works","TV and Video",Televisions,97,114942.09000000005
442,"WWI Desktop PC1.80 E1801 Silver","Wide World Importers",Computers,Desktops,415,112008.49999999999
446,"WWI Desktop PC1.60 E1600 Black","Wide World Importers",Computers,Desktops,509,111954.54999999992
440,"WWI Desktop PC1.60 E1600 Silver","Wide World Importers",Computers,Desktops,507,111514.64999999994
2101,"Contoso Water Heater 4.3GPM M1250 Silver",Contoso,"Home Appliances","Water Heaters",127,111442.5
2115,"Contoso Water Heater 4.3GPM M1250 Yellow",Contoso,"Home Appliances","Water Heaters",127,111442.5
452,"WWI Desktop PC1.60 E1600 Red","Wide World Importers",Computers,Desktops,505,111074.74999999993
459,"WWI Desktop PC1.80 E1801 White","Wide World Importers",Computers,Desktops,409,110389.09999999995
453,"WWI Desktop PC1.80 E1800 Silver","Wide World Importers",Computers,Desktops,480,110351.99999999997
1409,"The Phone Company Touch Screen Phone 1600 TFT-1.4" L250 Black","The Phone Company","Cell phones","Touch Screen Phones",187,110143
56,"WWI 4GB Video Recording Pen X200 Yellow","Wide World Importers",Audio,"Recording Pen",370,109520
149,"Adventure Works 40" LCD HDTV M690 Silver","Adventure Works","TV and Video",Televisions,92,109017.24000000003
1909,"Fabrikam Refrigerator 24.7CuFt X9800 Silver",Fabrikam,"Home Appliances",Refrigerators,34,108799.66
53,"WWI 4GB Video Recording Pen X200 Black","Wide World Importers",Audio,"Recording Pen",366,108336
552,"Proseware Projector 1080p DLP86 White",Proseware,Computers,"Projectors & Screens",43,107457
2097,"Contoso Water Heater 4.0GPM M1250 Green",Contoso,"Home Appliances","Water Heaters",135,106785
1975,"Litware Refrigerator L1200 Orange",Litware,"Home Appliances",Refrigerators,33,105599.67000000001
1933,"Fabrikam Refrigerator 24.7CuFt X9800 Orange",Fabrikam,"Home Appliances",Refrigerators,33,105599.67
1426,"The Phone Company Touch Screen Phone 1600 TFT-1.4" L250 Grey","The Phone Company","Cell phones","Touch Screen Phones",177,104253
2107,"Contoso Water Heater 4.0GPM M1250 Grey",Contoso,"Home Appliances","Water Heaters",130,102830
402,"WWI Laptop19W X0196 Blue","Wide World Importers",Computers,Laptops,79,102621
1951,"Litware Refrigerator 24.7CuFt X980 Silver",Litware,"Home Appliances",Refrigerators,32,102399.68
165,"Adventure Works 42" LCD HDTV M55 Black","Adventure Works","TV and Video",Televisions,134,102310.33999999998
1609,"SV DVD 14-Inch Player Portable L100 Silver","Southridge Video","Music, Movies and Audio Books","Movie DVD",391,101656.09000000007
368,"Adventure Works Laptop19W X1980 White","Adventure Works",Computers,Laptops,77,100023
151,"Adventure Works 40" LCD HDTV M690 White","Adventure Works","TV and Video",Televisions,84,99537.48000000004
1915,"Fabrikam Refrigerator 24.7CuFt X9800 Green",Fabrikam,"Home Appliances",Refrigerators,31,99199.69
2103,"Contoso Water Heater 2.6GPM E0900 Silver",Contoso,"Home Appliances","Water Heaters",195,99060
563,"Proseware Projector 1080p LCD86 Silver",Proseware,Computers,"Projectors & Screens",43,98685
1605,"SV DVD 15-Inch Player Portable L200 Black","Southridge Video","Music, Movies and Audio Books","Movie DVD",340,98596.59999999999
54,"WWI 4GB Video Recording Pen X200 Red","Wide World Importers",Audio,"Recording Pen",328,97088
1408,"The Phone Company Touch Screen Phone 1600 TFT-2.2" L200 Black","The Phone Company","Cell phones","Touch Screen Phones",182,96278
1650,"Contoso DVD 15-Inch Player Portable L200 Black",Contoso,"Music, Movies and Audio Books","Movie DVD",331,95986.69000000005
1660,"Contoso DVD 15-Inch Player Portable L200 White",Contoso,"Music, Movies and Audio Books","Movie DVD",329,95406.71000000002
2093,"Contoso Water Heater 2.6GPM E0900 Blue",Contoso,"Home Appliances","Water Heaters",186,94488
1655,"Contoso DVD 15-Inch Player Portable L200 Silver",Contoso,"Music, Movies and Audio Books","Movie DVD",325,94246.75000000003
518,"WWI LCD24W X300 Black","Wide World Importers",Computers,Monitors,108,93852
410,"Proseware Laptop19W X910 White",Proseware,Computers,Laptops,72,93528
457,"WWI Desktop PC1.60 E1600 White","Wide World Importers",Computers,Desktops,424,93258.7999999999
1957,"Litware Refrigerator 24.7CuFt X980 Green",Litware,"Home Appliances",Refrigerators,29,92799.71
1649,"Contoso DVD 14-Inch Player Portable L100 Black",Contoso,"Music, Movies and Audio Books","Movie DVD",349,90736.51000000002
55,"WWI 4GB Video Recording Pen X200 Pink","Wide World Importers",Audio,"Recording Pen",304,89984
2112,"Contoso Water Heater 4.0GPM M1250 Red",Contoso,"Home Appliances","Water Heaters",112,88592
1614,"SV DVD 14-Inch Player Portable L100 White","Southridge Video","Music, Movies and Audio Books","Movie DVD",340,88396.60000000011
1610,"SV DVD 15-Inch Player Portable L200 Silver","Southridge Video","Music, Movies and Audio Books","Movie DVD",303,87866.97000000002
2111,"Contoso Water Heater 4.3GPM M1250 Red",Contoso,"Home Appliances","Water Heaters",100,87750
447,"WWI Desktop PC1.80 E1800 Black","Wide World Importers",Computers,Desktops,377,86672.3
1921,"Fabrikam Refrigerator 24.7CuFt X9800 Blue",Fabrikam,"Home Appliances",Refrigerators,27,86399.72999999998
374,"Adventure Works Laptop19W X1980 Silver","Adventure Works",Computers,Laptops,64,83136
362,"Adventure Works Laptop19 X1900 Black","Adventure Works",Computers,Laptops,64,83136
1842,"Litware Washer & Dryer 27in L420 Green",Litware,"Home Appliances","Washers & Dryers",31,82212
380,"Adventure Works Laptop19W X1980 Red","Adventure Works",Computers,Laptops,63,81837
1578,"SV DVD Recorder L210 Silver","Southridge Video","Music, Movies and Audio Books","Movie DVD",372,81468
1625,"Contoso DVD Recorder L230 Grey",Contoso,"Music, Movies and Audio Books","Movie DVD",371,81249
1228,"Fabrikam Independent Filmmaker 1" 25mm X400 Blue",Fabrikam,"Cameras and camcorders",Camcorders,50,81000
1179,"Fabrikam Trendsetter 2/3'' 17mm X100 White",Fabrikam,"Cameras and camcorders",Camcorders,82,80360
441,"WWI Desktop PC1.80 E1800 Brown","Wide World Importers",Computers,Desktops,348,80005.20000000004
588,"Contoso Projector 1080p X981 White",Contoso,Computers,"Projectors & Screens",32,79968
1425,"The Phone Company Touch Screen Phone 1600 TFT-2.2" L200 Grey","The Phone Company","Cell phones","Touch Screen Phones",151,79879
1604,"SV DVD 14-Inch Player Portable L100 Black","Southridge Video","Music, Movies and Audio Books","Movie DVD",306,79556.94000000005
1659,"Contoso DVD 14-Inch Player Portable L100 White",Contoso,"Music, Movies and Audio Books","Movie DVD",305,79296.95000000001
1654,"Contoso DVD 14-Inch Player Portable L100 Silver",Contoso,"Music, Movies and Audio Books","Movie DVD",304,79036.95999999998
138,"Adventure Works 32" LCD HDTV M130 Black","Adventure Works","TV and Video",Televisions,158,78998.42000000004
1581,"SV DVD Recorder L240 Gold","Southridge Video","Music, Movies and Audio Books","Movie DVD",355,77745
1969,"Litware Refrigerator 24.7CuFt X980 Grey",Litware,"Home Appliances",Refrigerators,24,76799.76000000001
1945,"Litware Refrigerator 24.7CuFt X980 Brown",Litware,"Home Appliances",Refrigerators,24,76799.76
1181,"Fabrikam Independent filmmaker 1/2'' 3mm X300 White",Fabrikam,"Cameras and camcorders",Camcorders,48,75840
404,"Proseware Laptop19 X910 Black",Proseware,Computers,Laptops,58,75342
1615,"SV DVD 15-Inch Player Portable L200 White","Southridge Video","Music, Movies and Audio Books","Movie DVD",257,74527.43000000004
114,"WWI Wireless Transmitter and Bluetooth Headphones X250 Red","Wide World Importers",Audio,"Bluetooth Headphones",296,73997.04000000011
1903,"Fabrikam Refrigerator 24.7CuFt X9800 Brown",Fabrikam,"Home Appliances",Refrigerators,23,73599.77
113,"WWI Wireless Transmitter and Bluetooth Headphones X250 White","Wide World Importers",Audio,"Bluetooth Headphones",292,72997.08000000003
1207,"Fabrikam Independent Filmmaker 2/3'' 17mm X100 Grey",Fabrikam,"Cameras and camcorders",Camcorders,48,72960
386,"Adventure Works Laptop19W X1980 Blue","Adventure Works",Computers,Laptops,56,72744
1612,"SV DVD 12-Inch Player Portable M400 White","Southridge Video","Music, Movies and Audio Books","Movie DVD",401,72175.99000000002
1827,"Litware Washer & Dryer 27in L420 White",Litware,"Home Appliances","Washers & Dryers",27,71604
2098,"Contoso Water Heater 2.6GPM E0900 Green",Contoso,"Home Appliances","Water Heaters",140,71120
2152,"Adventure Works Coffee Maker Super-Auto 12C X125 White","Adventure Works","Home Appliances","Coffee Machines",43,70950
1226,"Fabrikam Trendsetter 1/3'' 8.5mm X200 Black",Fabrikam,"Cameras and camcorders",Camcorders,71,70929
338,"Fabrikam Laptop19W M9800 Black",Fabrikam,Computers,Laptops,59,70741
1157,"Fabrikam Independent Filmmaker 1/2" 3mm X300 Orange",Fabrikam,"Cameras and camcorders",Camcorders,44,69520
115,"WWI Wireless Transmitter and Bluetooth Headphones X250 Silver","Wide World Importers",Audio,"Bluetooth Headphones",277,69247.23000000001
51,"WWI 2GB Pulse Smart pen M100 Blue","Wide World Importers",Audio,"Recording Pen",345,68982.75
1622,"Contoso DVD Recorder L200 Black",Contoso,"Music, Movies and Audio Books","Movie DVD",313,68547
2128,"Contoso Coffee Maker Super-Auto 12C X1250 White",Contoso,"Home Appliances","Coffee Machines",41,67650
2176,"Fabrikam Coffee Maker Super-Auto 12C X125 White",Fabrikam,"Home Appliances","Coffee Machines",41,67650
2116,"Contoso Coffee Maker Super-Auto 12C X1250 Black",Contoso,"Home Appliances","Coffee Machines",41,67650
1843,"Litware Washer & Dryer 25.5in M350 Green",Litware,"Home Appliances","Washers & Dryers",34,67626
564,"Proseware Projector 1080p DLP86 Silver",Proseware,Computers,"Projectors & Screens",27,67473
57,"WWI 1GB Digital Voice Recorder Pen E100 Black","Wide World Importers",Audio,"Recording Pen",431,67236
1449,"The Phone Company Touch Screen Phones Infrared M901 Gold","The Phone Company","Cell phones","Touch Screen Phones",224,67200
394,"WWI Laptop15.4W M0156 Black","Wide World Importers",Computers,Laptops,88,66704
1652,"Contoso DVD 12-Inch Player Portable M400 Silver",Contoso,"Music, Movies and Audio Books","Movie DVD",370,66596.30000000003
111,"WWI Wireless Transmitter and Bluetooth Headphones X250 Black","Wide World Importers",Audio,"Bluetooth Headphones",266,66497.34000000001
2170,"Fabrikam Coffee Maker Super-Auto 12C X125 Silver",Fabrikam,"Home Appliances","Coffee Machines",40,66000
1623,"Contoso DVD Recorder L210 Silver",Contoso,"Music, Movies and Audio Books","Movie DVD",300,65700
1858,"NT Washer & Dryer 25.5in M2550 Blue","Northwind Traders","Home Appliances","Washers & Dryers",33,65666.70000000001
1156,"Fabrikam Independent Filmmaker 1'' 25mm X400 Black",Fabrikam,"Cameras and camcorders",Camcorders,41,65600
1158,"Fabrikam Independent Filmmaker 1/3'' 8.5mm X200 Black",Fabrikam,"Cameras and camcorders",Camcorders,42,65520
1834,"Litware Washer & Dryer 24in M260 Silver",Litware,"Home Appliances","Washers & Dryers",36,65448
462,"Proseware LCD24W X300 Black",Proseware,Computers,Monitors,75,65175
1154,"Fabrikam Trendsetter 1/3" 8.5mm X200 Blue",Fabrikam,"Cameras and camcorders",Camcorders,65,64870
1579,"SV DVD Recorder L220 White","Southridge Video","Music, Movies and Audio Books","Movie DVD",296,64824
461,"Proseware LCD24 X300 Black",Proseware,Computers,Monitors,79,64701
1580,"SV DVD Recorder L230 Grey","Southridge Video","Music, Movies and Audio Books","Movie DVD",295,64605
575,"Contoso Projector 1080p X980 Black",Contoso,Computers,"Projectors & Screens",28,64260
1184,"Fabrikam Business Videographer 1'' 25mm M600 White",Fabrikam,"Cameras and camcorders",Camcorders,72,64080
65,"WWI 2GB Spy Video Recorder Pen M300 Purple","Wide World Importers",Audio,"Recording Pen",353,63893
1852,"NT Washer & Dryer 27in L2700 Silver","Northwind Traders","Home Appliances","Washers & Dryers",24,63669.600000000006
49,"WWI 2GB Pulse Smart pen M100 White","Wide World Importers",Audio,"Recording Pen",318,63584.09999999995
1577,"SV DVD Recorder L200 Black","Southridge Video","Music, Movies and Audio Books","Movie DVD",290,63510
2113,"Contoso Water Heater 2.6GPM E0900 Red",Contoso,"Home Appliances","Water Heaters",125,63500
528,"WWI LCD24 X300 White","Wide World Importers",Computers,Monitors,77,63063
1231,"Fabrikam Independent Filmmaker 2/3'' 17mm X100 Black",Fabrikam,"Cameras and camcorders",Camcorders,42,63000
154,"Adventure Works 26" 720p LCD HDTV M140 Black","Adventure Works","TV and Video",Televisions,134,62975.980000000025
366,"Adventure Works Laptop15.4W M1548 Black","Adventure Works",Computers,Laptops,83,62914
1203,"Fabrikam Trendsetter 2/3'' 17mm X100 Grey",Fabrikam,"Cameras and camcorders",Camcorders,64,62720
1182,"Fabrikam Independent filmmaker 1/3'' 8.5mm X200 White",Fabrikam,"Cameras and camcorders",Camcorders,40,62400
1180,"Fabrikam Independent filmmaker 1'' 25mm X400 White",Fabrikam,"Cameras and camcorders",Camcorders,39,62400
1624,"Contoso DVD Recorder L220 White",Contoso,"Music, Movies and Audio Books","Movie DVD",283,61977
50,"WWI 2GB Pulse Smart pen M100 Black","Wide World Importers",Audio,"Recording Pen",308,61584.6
61,"WWI 2GB Spy Video Recorder Pen M300 Black","Wide World Importers",Audio,"Recording Pen",340,61540
58,"WWI 1GB Digital Voice Recorder Pen E100 Red","Wide World Importers",Audio,"Recording Pen",388,60528
140,"Adventure Works 32" LCD HDTV M130 Brown","Adventure Works","TV and Video",Televisions,121,60498.790000000015
1602,"SV DVD 12-Inch Player Portable M400 Black","Southridge Video","Music, Movies and Audio Books","Movie DVD",336,60476.640000000014
1442,"The Phone Company Touch Screen Phone 1600 TFT-2.2" L200 Gold","The Phone Company","Cell phones","Touch Screen Phones",113,59777
390,"WWI Laptop19W X0196 Black","Wide World Importers",Computers,Laptops,46,59754
1626,"Contoso DVD Recorder L240 Gold",Contoso,"Music, Movies and Audio Books","Movie DVD",271,59349
1229,"Fabrikam Independent Filmmaker 1/2'' 3mm X300 Black",Fabrikam,"Cameras and camcorders",Camcorders,38,59280
1647,"Contoso DVD 12-Inch Player Portable M400 Black",Contoso,"Music, Movies and Audio Books","Movie DVD",329,59216.71000000002
1176,"Fabrikam Trendsetter 1'' 25mm X400 White",Fabrikam,"Cameras and camcorders",Camcorders,59,59000
1209,"Fabrikam Business Videographer 1/2'' 3mm M500 Grey",Fabrikam,"Cameras and camcorders",Camcorders,67,58960
64,"WWI 2GB Spy Video Recorder Pen M300 Silver","Wide World Importers",Audio,"Recording Pen",324,58644
1874,"Contoso Washer & Dryer 24in M240 Silver",Contoso,"Home Appliances","Washers & Dryers",32,58176
340,"Fabrikam Laptop17 M7000 Black",Fabrikam,Computers,Laptops,71,58149
1225,"Fabrikam Trendsetter 1/2" 3mm X300 Orange",Fabrikam,"Cameras and camcorders",Camcorders,58,58000
1848,"NT Washer & Dryer 25.5in M2550 White","Northwind Traders","Home Appliances","Washers & Dryers",29,57707.100000000006
1432,"The Phone Company Touch Screen Phones Infrared M901 Grey","The Phone Company","Cell phones","Touch Screen Phones",192,57600
1439,"The Phone Company Sharp Touch Screen Phones M910 Grey","The Phone Company","Cell phones","Touch Screen Phones",190,57190
63,"WWI 2GB Spy Video Recorder Pen M300 Blue","Wide World Importers",Audio,"Recording Pen",314,56834
1646,"Contoso DVD 9-Inch Player Portable M300 Black",Contoso,"Music, Movies and Audio Books","Movie DVD",355,56796.45000000002
1434,"The Phone Company Touch Screen Phones 4-Wire/ Built-in M205 Grey","The Phone Company","Cell phones","Touch Screen Phones",210,56280
1453,"The Phone Company Touch Screen Phones 5-Wire/On-wall M508 Gold","The Phone Company","Cell phones","Touch Screen Phones",217,55986
1456,"The Phone Company Sharp Touch Screen Phones M910 Gold","The Phone Company","Cell phones","Touch Screen Phones",186,55986
1970,"Litware Refrigerator 19CuFt M760 Grey",Litware,"Home Appliances",Refrigerators,62,55738
1847,"NT Washer & Dryer 27in L2700 White","Northwind Traders","Home Appliances","Washers & Dryers",21,55710.9
393,"WWI Laptop16 M0160 Black","Wide World Importers",Computers,Laptops,93,55707
60,"WWI 1GB Digital Voice Recorder Pen E100 White","Wide World Importers",Audio,"Recording Pen",357,55692
347,"Fabrikam Laptop14.1 M4100 White",Fabrikam,Computers,Laptops,95,55670
137,"Adventure Works 32" LCD HDTV M130 Silver","Adventure Works","TV and Video",Televisions,111,55498.89000000002
2108,"Contoso Water Heater 2.6GPM E0900 Grey",Contoso,"Home Appliances","Water Heaters",109,55372
1607,"SV DVD 12-Inch Player Portable M400 Silver","Southridge Video","Music, Movies and Audio Books","Movie DVD",307,55256.92999999999
371,"Adventure Works Laptop16 M1601 White","Adventure Works",Computers,Laptops,92,55108
1455,"The Phone Company Pen Touch Screen Phones M320 Gold","The Phone Company","Cell phones","Touch Screen Phones",190,55100
112,"WWI Wireless Transmitter and Bluetooth Headphones X250 Blue","Wide World Importers",Audio,"Bluetooth Headphones",220,54997.80000000002
343,"Fabrikam Laptop19 M9000 Black",Fabrikam,Computers,Laptops,50,54950
1177,"Fabrikam Trendsetter 1/2'' 3mm X300 White",Fabrikam,"Cameras and camcorders",Camcorders,55,54945
1412,"The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Black","The Phone Company","Cell phones","Touch Screen Phones",189,54621
1447,"The Phone Company Touch Screen Phones SAW/Built-in M801 Gold","The Phone Company","Cell phones","Touch Screen Phones",182,54418
1204,"Fabrikam Independent Filmmaker 1'' 25mm X400 Grey",Fabrikam,"Cameras and camcorders",Camcorders,34,54400
578,"Contoso Projector 720p M621 Black",Contoso,Computers,"Projectors & Screens",54,53946
1651,"Contoso DVD 9-Inch Player Portable M300 Silver",Contoso,"Music, Movies and Audio Books","Movie DVD",336,53756.64
1462,"Contoso Touch Screen Phones 4-Wire/ Built-in M205 Black",Contoso,"Cell phones","Touch Screen Phones",200,53600
1450,"The Phone Company Touch Screen Phones Capacitive M908 Gold","The Phone Company","Cell phones","Touch Screen Phones",174,53592
156,"Adventure Works 26" 720p LCD HDTV M140 Brown","Adventure Works","TV and Video",Televisions,114,53576.58000000002
1459,"Contoso Touch Screen Phones 5-Wire/Built-in M500 Black",Contoso,"Cell phones","Touch Screen Phones",209,53504
1208,"Fabrikam Business Videographer 1'' 25mm M600 Grey",Fabrikam,"Cameras and camcorders",Camcorders,60,53400
1656,"Contoso DVD 9-Inch Player Portable M300 White",Contoso,"Music, Movies and Audio Books","Movie DVD",333,53276.67000000004
48,"WWI 1GB Pulse Smart pen E50 Silver","Wide World Importers",Audio,"Recording Pen",355,53232.24999999999
1460,"Contoso Touch Screen Phones Infrared M901 Black",Contoso,"Cell phones","Touch Screen Phones",177,53100
1445,"The Phone Company Touch Screen Phones 26-1.4" M250 Gold","The Phone Company","Cell phones","Touch Screen Phones",196,52528
464,"Proseware LCD22W M2001 Black",Proseware,Computers,Monitors,77,52283
396,"WWI Laptop19W X0196 White","Wide World Importers",Computers,Laptops,40,51960
636,"WWI Projector 720p DLP56 Silver","Wide World Importers",Computers,"Projectors & Screens",52,51948
602,"Contoso Projector 720p M621 Silver",Contoso,Computers,"Projectors & Screens",52,51948
2088,"Contoso Water Heater 2.6GPM E0900 White",Contoso,"Home Appliances","Water Heaters",102,51816
62,"WWI 2GB Spy Video Recorder Pen M300 White","Wide World Importers",Audio,"Recording Pen",284,51404
519,"WWI LCD22 M2002 Black","Wide World Importers",Computers,Monitors,83,51377
1458,"The Phone Company Touch Screen Phones - LCD M12 Gold","The Phone Company","Cell phones","Touch Screen Phones",256,51200
411,"Proseware Laptop15 M510 White",Proseware,Computers,Laptops,73,51027
1601,"SV DVD 9-Inch Player Portable M300 Black","Southridge Video","Music, Movies and Audio Books","Movie DVD",317,50716.83000000002
